goal,status,structured_revision_count,goal_archive_count,report_count,ad_hoc_review_count,primary_structured_revision,primary_goal_archive,sample_report,sample_ad_hoc_review
415,goal_doc_archive_only,0,1,6,1,,docs/history/goals/archive/goal_415_v0_7_rt_db_execution_interpretation.md,docs/reports/claude_goal415_416_v0_7_rt_db_execution_and_lowering_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal415-v0_7-rt-db-execution-interpretation.md
416,goal_doc_archive_only,0,1,2,1,,docs/history/goals/archive/goal_416_v0_7_rt_db_lowering_runtime_contract.md,docs/reports/goal416_v0_7_rt_db_lowering_runtime_contract_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal416-v0_7-rt-db-lowering-runtime-contract.md
417,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_417_v0_7_rt_db_conjunctive_scan_python_truth_path.md,docs/reports/claude_goal417_v0_7_rt_db_conjunctive_scan_python_truth_path_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal417-v0_7-rt-db-conjunctive-scan-python-truth-path.md
418,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_418_v0_7_rt_db_grouped_count_python_truth_path.md,docs/reports/claude_goal418_v0_7_rt_db_grouped_count_python_truth_path_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal418-v0_7-rt-db-grouped-count-python-truth-path.md
419,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_419_v0_7_rt_db_grouped_sum_python_truth_path.md,docs/reports/claude_goal419_v0_7_rt_db_grouped_sum_python_truth_path_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal419-v0_7-rt-db-grouped-sum-python-truth-path.md
420,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_420_v0_7_rt_db_conjunctive_scan_native_oracle_truth_path.md,docs/reports/claude_goal420_v0_7_rt_db_conjunctive_scan_native_oracle_truth_path_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal420-v0_7-rt-db-conjunctive-scan-native-oracle-truth-path.md
421,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_421_v0_7_rt_db_grouped_count_native_oracle_truth_path.md,docs/reports/claude_goal421_v0_7_rt_db_grouped_count_native_oracle_truth_path_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal421-v0_7-rt-db-grouped-count-native-oracle-truth-path.md
422,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_422_v0_7_rt_db_grouped_sum_native_oracle_truth_path.md,docs/reports/claude_goal422_v0_7_rt_db_grouped_sum_native_oracle_truth_path_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal422-v0_7-rt-db-grouped-sum-native-oracle-truth-path.md
423,report_or_review_only,0,0,4,1,,,docs/reports/claude_goal423_v0_7_postgresql_db_correctness_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal423-v0_7-postgresql-db-correctness.md
424,report_or_review_only,0,0,4,1,,,docs/reports/claude_goal424_v0_7_postgresql_db_grouped_correctness_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal424-v0_7-postgresql-db-grouped-correctness.md
425,no_direct_goal_id_artifact_found,0,0,0,0,,,,
426,goal_doc_archive_only,0,1,7,0,,docs/history/goals/archive/goal_426_v0_7_rt_db_embree_backend_closure.md,docs/reports/claude_goal426_v0_7_rt_db_embree_backend_closure_review_2026-04-15.md,
427,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_427_v0_7_rt_db_optix_backend_closure.md,docs/reports/goal427_external_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal427-v0_7-rt-db-optix-backend-closure.md
428,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_428_v0_7_rt_db_vulkan_backend_closure.md,docs/reports/goal428_external_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal428-v0_7-rt-db-vulkan-backend-closure.md
429,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_429_v0_7_rt_db_cross_engine_postgresql_correctness_gate.md,docs/reports/goal429_external_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal429-v0_7-rt-db-cross-engine-postgresql-correctness-gate.md
430,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_430_v0_7_rt_db_perf_gate.md,docs/reports/goal430_external_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal430-v0_7-rt-db-perf-gate.md
431,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_431_v0_7_rt_db_release_gates.md,docs/reports/goal431_external_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal431-v0_7-rt-db-release-gates.md
432,report_or_review_only,0,0,4,1,,,docs/reports/goal432_db_phase_split_perf_linux_2026-04-15.json,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal432-v0_7-rt-db-phase-split-perf-clarification.md
433,report_or_review_only,0,0,3,1,,,docs/reports/goal433_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal433-v0_7-native-prepared-db-dataset-contract.md
434,report_or_review_only,0,0,4,1,,,docs/reports/goal434_embree_native_prepared_db_dataset_linux_2026-04-16.json,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal434-v0_7-embree-native-prepared-db-dataset.md
435,report_or_review_only,0,0,4,1,,,docs/reports/goal435_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal435-v0_7-optix-native-prepared-db-dataset.md
436,report_or_review_only,0,0,4,1,,,docs/reports/goal436_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal436-v0_7-vulkan-native-prepared-db-dataset.md
437,report_or_review_only,0,0,4,1,,,docs/reports/goal437_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal437-v0_7-rt-db-repeated-query-perf-gate.md
438,report_or_review_only,0,0,3,1,,,docs/reports/goal438_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal438-v0_7-release-gate-refresh-after-native-prepared-db.md
439,report_or_review_only,0,0,2,0,,,docs/reports/goal439_external_tester_report_intake_ledger_2026-04-16.md,
440,report_or_review_only,0,0,4,1,,,docs/reports/goal440_embree_columnar_transfer_perf_linux_2026-04-16.json,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal440-v0_7-embree-columnar-prepared-db-dataset-transfer.md
441,report_or_review_only,0,0,4,1,,,docs/reports/goal441_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal441-v0_7-optix-columnar-prepared-db-dataset-transfer.md
442,report_or_review_only,0,0,4,1,,,docs/reports/goal442_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal442-v0_7-vulkan-columnar-prepared-db-dataset-transfer.md
443,report_or_review_only,0,0,4,1,,,docs/reports/goal443_columnar_repeated_query_perf_linux_2026-04-16.json,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal443-v0_7-columnar-repeated-query-perf-gate.md
444,report_or_review_only,0,0,3,1,,,docs/reports/goal444_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal444-v0_7-release-docs-refresh-after-columnar-transfer.md
445,report_or_review_only,0,0,5,1,,,docs/reports/goal445_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal445-v0_7-high-level-prepared-db-columnar-default.md
446,report_or_review_only,0,0,3,1,,,docs/reports/goal446_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal446-v0_7-post-columnar-db-regression-sweep.md
447,report_or_review_only,0,0,3,1,,,docs/reports/goal447_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal447-v0_7-db-columnar-packaging-readiness-audit.md
